epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,1132.17,1.15978,1.03036,1.08588,0.68888,0.44453,0.46013,0.34203,1.26126,1.05068,1.03515,0.007624,0.007624,0.007624
122,1141.32,1.1388,1.02259,1.07732,0.69419,0.44378,0.46195,0.33913,1.26091,1.05104,1.03567,0.0076042,0.0076042,0.0076042
123,1150.5,1.13803,1.02223,1.07933,0.6813,0.44645,0.46181,0.33943,1.25901,1.04718,1.03411,0.0075844,0.0075844,0.0075844
124,1159.67,1.16204,1.04566,1.08469,0.70004,0.44537,0.46205,0.33908,1.25907,1.04831,1.03379,0.0075646,0.0075646,0.0075646
125,1168.85,1.16641,1.04207,1.08676,0.69795,0.44115,0.46287,0.33921,1.2581,1.04666,1.03303,0.0075448,0.0075448,0.0075448
126,1178,1.15393,1.03546,1.08291,0.69925,0.44121,0.46273,0.33945,1.25841,1.0485,1.0341,0.007525,0.007525,0.007525
127,1187.17,1.16261,1.03473,1.08126,0.69667,0.44195,0.46165,0.33891,1.25761,1.04679,1.03338,0.0075052,0.0075052,0.0075052
128,1196.32,1.1418,1.01491,1.07736,0.69062,0.43969,0.46223,0.33949,1.25747,1.04628,1.03309,0.0074854,0.0074854,0.0074854
129,1205.48,1.15503,1.02821,1.08078,0.69493,0.44055,0.46361,0.33984,1.25562,1.04339,1.03211,0.0074656,0.0074656,0.0074656
130,1214.65,1.15704,1.02229,1.08363,0.69884,0.44549,0.46422,0.34008,1.25462,1.04263,1.03158,0.0074458,0.0074458,0.0074458
131,1223.81,1.15039,1.02354,1.0795,0.71127,0.44367,0.46519,0.34002,1.25322,1.04216,1.03103,0.007426,0.007426,0.007426
132,1233.01,1.14408,1.02184,1.07563,0.72296,0.44275,0.46468,0.34422,1.25217,1.04002,1.03028,0.0074062,0.0074062,0.0074062
133,1242.18,1.14614,1.0242,1.08076,0.72947,0.4438,0.46589,0.34611,1.25169,1.03995,1.02997,0.0073864,0.0073864,0.0073864
134,1251.36,1.14364,1.02041,1.07924,0.73711,0.4409,0.46586,0.3452,1.25178,1.04008,1.0302,0.0073666,0.0073666,0.0073666
135,1260.53,1.12846,1.01455,1.07319,0.73395,0.44536,0.46686,0.34448,1.25077,1.03984,1.02977,0.0073468,0.0073468,0.0073468
